EHDSAddress; ; 0..*; EHDS refined base model for Address structure; ;   ; Address model 
EHDSRelatedPersonObligations; ; 0..*; Telecommunication contact information (addresses) of the person.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSTelecom;   ; Telecommunication contact information (addresses) of the person. 
EHDSServiceRequest; ; 0..*; The model covers details about a requested service or services. One order may include several requests.; ;   ; Service request model 
EHDSServiceRequest; header; 1..1; Basic metadata for this information; Base;   ; Basic metadata for this information 
EHDSServiceRequest; header.subject; 1..1; Patient/subject information; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Patient/subject information 
EHDSServiceRequest; header.identifier; 0..*; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).; Identifier;   ; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries). 
EHDSServiceRequest; header.author[x]; 0..*; Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Author(s) responsible for the provided information. 
EHDSServiceRequest; header.author[x]; 0..*; Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; Author(s) responsible for the provided information. 
EHDSServiceRequest; header.author[x]; 0..*; Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; Author(s) responsible for the provided information. 
EHDSServiceRequest; header.date; 0..1; Date and optionally time of authoring/issuing; dateTime;   ; Date and optionally time of authoring/issuing 
EHDSServiceRequest; header.status; 1..1; Status of the resource or document; CodeableConcept;   ; Status of the resource or document 
EHDSServiceRequest; header.source; 0..1; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.; CodeableConcept;   ; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information. 
EHDSServiceRequest; header.language; 0..1; Language in which the resource is written. Language is expressed by the IETF language tag.; CodeableConcept; BCP 47 (preferred)  ; Language in which the resource is written. Language is expressed by the IETF language tag. 
EHDSServiceRequest; description; 0..1; Textual description of the requested service; string;   ; Textual description of the requested service 
EHDSServiceRequest; code; 0..1; A code and name that identifies a particular service (i.e., procedure, diagnostic investigation, or panel of investigations) that have been requested.; CodeableConcept; LOINC, NPU, SNOMED CT (preferred)  ; A code and name that identifies a particular service (i.e., procedure, diagnostic investigation, or panel of investigations) that have been requested. 
EHDSServiceRequest; quantity; 0..1; Amount of requested services of the same type; Quantity;   ; Amount of requested services of the same type 
EHDSServiceRequest; bodySite; 0..*; Anatomic location and laterality where the procedure should be performed. This is the target site.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSBodyStructure;   ; Anatomic location and laterality where the procedure should be performed. This is the target site. 
EHDSServiceRequest; reason[x]; 0..*; Reason why this service is being requested.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation; ICD-10, SNOMED CT, Orphacode (preferred)  ; Reason why this service is being requested. 
EHDSServiceRequest; reason[x]; 0..*; Reason why this service is being requested.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition; ICD-10, SNOMED CT, Orphacode (preferred)  ; Reason why this service is being requested. 
EHDSServiceRequest; reason[x]; 0..*; Reason why this service is being requested.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSMedication; ICD-10, SNOMED CT, Orphacode (preferred)  ; Reason why this service is being requested. 
EHDSServiceRequest; reason[x]; 0..*; Reason why this service is being requested.; string; ICD-10, SNOMED CT, Orphacode (preferred)  ; Reason why this service is being requested. 
EHDSServiceRequest; priority; 0..1; Indicates how quickly the request should be addressed with respect to other requests.; CodeableConcept; HL7 Request Priority (preferred)  ; Indicates how quickly the request should be addressed with respect to other requests. 
EHDSServiceRequest; supportingInformation[x]; 0..*; Health conditions relevant for the results interpretation, e.g. fasting status, sex for clinical use, etc.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation;   ; Health conditions relevant for the results interpretation, e.g. fasting status, sex for clinical use, etc. 
EHDSServiceRequest; supportingInformation[x]; 0..*; Health conditions relevant for the results interpretation, e.g. fasting status, sex for clinical use, etc.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition;   ; Health conditions relevant for the results interpretation, e.g. fasting status, sex for clinical use, etc. 
EHDSServiceRequest; supportingInformation[x]; 0..*; Health conditions relevant for the results interpretation, e.g. fasting status, sex for clinical use, etc.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSProcedure;   ; Health conditions relevant for the results interpretation, e.g. fasting status, sex for clinical use, etc. 
EHDSServiceRequest; supportingInformation[x]; 0..*; Health conditions relevant for the results interpretation, e.g. fasting status, sex for clinical use, etc.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSMedicationAdministration;   ; Health conditions relevant for the results interpretation, e.g. fasting status, sex for clinical use, etc. 
EHDSServiceRequest; specimen; 0..*; Specimens to be used by the laboratory procedure; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSSpecimen;   ; Specimens to be used by the laboratory procedure 
EHDSServiceRequest; encounter; 0..1; The encounter that provides additional information about the healthcare context in which this request is made.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSEncounter;   ; The encounter that provides additional information about the healthcare context in which this request is made. 
EHDSServiceRequest; occurrence[x]; 0..1; Expected time of the service; dateTime;   ; Expected time of the service 
EHDSServiceRequest; occurrence[x]; 0..1; Expected time of the service; Period;   ; Expected time of the service 
EHDSServiceRequest; patientInstructions; 0..1; Patient or consumer-oriented instructions; string;   ; Patient or consumer-oriented instructions 
EHDSServiceRequestLaboratoryObligations; ; 0..*; The model covers details about a requested service or services. One order may include several requests.; ;   ; Service request model 
EHDSServiceRequestLaboratoryObligations; ; 1..1; Basic metadata for this information; Base;   ; Basic metadata for this information 
EHDSServiceRequestLaboratoryObligations; ; 1..1; Patient/subject information; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Patient/subject information 
EHDSServiceRequestLaboratoryObligations; ; 0..*; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).; Identifier;   ; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries). 
